genres,popularity
basshall,80.66666666666666
turkish edm,80.0
south african house,80.0
trap venezolano,80.0
alberta hip hop,78.5
chinese electropop,78.5
afroswing,77.3125
afro soul,77.0
russian dance,77.0
guaracha,77.0
indie triste,77.0
circuit,77.0
uk diy punk,77.0
pagode baiano,76.66666666666667
ritmo kombina,76.33333333333333
trap triste,76.08333333333334
norwegian pop rap,76.0
urbano espanol,75.25
musica canaria,75.16666666666667
argentine hip hop,74.97916666666667
rhode island rap,74.36363636363636
guatemalan pop,74.0
trap chileno,74.0
rock chapin,74.0
deep dance pop,73.5
chinese hip hop,73.0
chinese idol pop,73.0
korean mask singer,73.0
funk pop,72.8888888888889
birmingham grime,72.66666666666666
south african pop dance,72.5
trap argentino,72.2777777777778
japanese indie rock,72.0
hong kong hip hop,72.0
reggaeton mexicano,72.0
dutch hip hop,71.5
modern indie pop,71.31770833333333
london rap,71.25
funk das antigas,71.0
german pop rock,70.4
r&b en espanol,70.26190476190476
gqom,70.2
dong-yo,70.0
swedish dancehall,70.0
kentucky hip hop,69.80293843283582
musical advocacy,69.75
german dance,69.43666666666667
indonesian r&b,69.33333333333333
irish indie,69.0
deep flow,69.0
